Rank,Name,Team,Position,Pass Comp/Att,Pass Yds,Pass TD,Pass INT,Rush Car,Rush Yds,Rush TD,Rec,Rec Yds,Rec TD,Targets,Standard,Half PPR,PPR,Projected,Bye Week
231,Tutu Atwell,LAR,WR,0/0,0,0,0,0,0,0,40,490,2,63,61,81,101,1,8
232,Calvin Austin III,Pit,WR,0/0,0,0,0,3,16,0,14,227,2,25,36.3,43.3,50.3,1,5
233,Christian Watson,GB,WR,0/0,0,0,0,3,16,0,14,227,2,25,36.3,43.3,50.3,1,5
234,Tre Tucker,LV,WR,0/0,0,0,0,8,47,0,28,380,2,46,54.7,68.7,82.7,1,8
235,Giants D/ST,NYG,D/ST,0/0,0,0,0,0,0,0,0,0,0,0,108.5,108.5,108.5,1,14
236,Buccaneers D/ST,TB,D/ST,0/0,0,0,0,0,0,0,0,0,0,0,104.2,104.2,104.2,1,9
237,Ka'imi Fairbairn,Hou,K,0/0,0,0,0,0,0,0,0,0,0,0,137.1,137.1,137.1,1.2,6
238,Joshua Karty,LAR,K,0/0,0,0,0,0,0,0,0,0,0,0,137.3,137.3,137.3,1.3,8
239,Kenneth Gainwell,Phi,RB,0/0,0,0,0,50,212,2,12,87,0,19,41.9,47.9,53.9,1,9
240,Ty Johnson,Buf,RB,0/0,0,0,0,0,0,0,14,148,1,30,20.8,27.8,34.8,1,7
241,Elijah Mitchell,SF,RB,0/0,0,0,0,50,215,2,9,62,0,12,39.7,44.2,48.7,1,14
242,Raheem Mostert,Mia,RB,0/0,0,0,0,47,205,1,9,62,0,11,32.7,37.2,41.7,1,12
243,Clyde Edwards-Helaire,KC,RB,0/0,0,0,0,54,237,1,2,48,0,7,34.5,35.5,36.5,1,10
244,Isacc Guerendo,SF,RB,0/0,0,0,0,43,190,2,16,0,0,3,31,39,47,1,14
245,Kyle Monangai,Cle,RB,0/0,0,0,0,0,0,0,52,215,2,12,33.5,59.5,85.5,1,9
246,Ollie Gordon II,Mia,RB,0/0,0,0,0,40,167,1,5,33,0,8,26,28.5,31,1,12
247,Sean Tucker,TB,RB,0/0,0,0,0,31,139,1,4,31,0,6,23,25,27,1,9
248,Isiah Davis,NYJ,RB,0/0,0,0,0,23,102,1,7,52,0,9,21.4,24.9,28.4,1,9
249,Keaton Mitchell,Bal,RB,0/0,0,0,0,36,165,1,2,13,0,2,23.8,24.8,25.8,1,7
250,Devin Neal,NO,RB,0/0,0,0,0,34,140,1,4,29,0,6,22.9,24.9,26.9,1,11
251,Kyle Juszczyk,SF,RB,0/0,0,0,0,4,18,0,14,408,4,70,66.6,73.6,80.6,1,14
252,Noah Brown,WA,WR,0/0,0,0,0,0,0,0,12,366,3,16,54.6,60.6,66.6,1,12
253,Allen Lazard,NYJ,WR,0/0,0,0,0,0,0,0,28,351,2,46,47.1,61.1,75.1,1,9
254,Cardinals D/ST,Ari,D/ST,0/0,0,0,0,0,0,0,0,0,0,0,100.2,100.2,100.2,1,8
255,Packers D/ST,GB,D/ST,0/0,0,0,0,0,0,0,0,0,0,0,84.5,84.5,84.5,1,5
256,Brandon McManus,Jax,K,0/0,0,0,0,0,0,0,0,0,0,0,135.6,135.6,135.6,1,8
257,Evan McPherson,Cin,K,0/0,0,0,0,0,0,0,0,0,0,0,136.1,136.1,136.1,1,10
258,Isaiah Likely,Bal,TE,0/0,0,0,0,0,0,0,36,359,5,55,65.9,83.9,101.9,1,7
259,Dallton Schultz,Hou,TE,0/0,0,0,0,0,0,0,51,557,7,64,97.7,123.2,148.7,1,6
260,Mike Gesicki,Cin,TE,0/0,0,0,0,0,0,0,56,626,3,77,80.6,108.6,136.6,1,10
261,KaVontae Turpin,Dal,WR,0/0,0,0,0,12,76,0,26,263,2,37,45.9,58.9,71.9,1,10
262,Jalen Tolbert,Dal,WR,0/0,0,0,0,0,0,0,36,309,3,42,48.9,66.9,84.9,1,10
263,Andrei Iosivas,Cin,WR,0/0,0,0,0,0,0,0,26,306,3,43,48.6,61.6,74.6,1,10
264,Jalen McMillan,TB,WR,0/0,0,0,0,1,6,0,10,105,1,16,17.1,22.1,27.1,1,9
265,Emari Demercado,Ari,RB,0/0,0,0,0,31,135,1,4,41,0,7,23.6,25.6,27.6,1,8
266,Jaquez Hunter,LAR,RB,0/0,0,0,0,31,135,1,4,41,0,7,23.6,25.6,27.6,1,8
267,Daniel Jones,NYG,QB,254/400,2660,21,10,88,435,4,0,0,0,0,237.9,237.9,237.9,1,14
268,Aaron Rodgers,Pit,QB,370/562,3877,21,11,31,112,1,0,0,0,0,234.28,234.28,234.28,1,5
269,Russell Wilson,NYG,QB,168/265,1901,9,5,30,119,1,0,0,0,0,119.94,119.94,119.94,1,14
270,Joe Flacco,Cle,QB,180/291,1973,8,7,21,69,1,0,0,0,0,109.82,109.82,109.82,1,9
271,Alec Pierce,Ind,WR,0/0,0,0,0,24,335,2,45,0,0,0,45.5,68,90.5,1,11
272,Jamari Thrash,Cle,WR,0/0,0,0,0,25,332,1,39,0,0,0,39.2,58.7,78.2,1,9
273,Janlen Coker,Car,WR,0/0,0,0,0,21,286,2,38,0,0,0,40.6,59.6,78.6,1,14
274,Tom Jefferson,Ten,WR,0/0,0,0,0,21,286,2,38,0,0,0,40.6,59.6,78.6,1,10
275,Greg Dortch,Ari,WR,0/0,0,0,0,4,28,0,23,239,1,32,32.7,44.2,55.7,1,8
276,Chris Brooks,Mia,RB,0/0,0,0,0,27,116,1,4,27,0,6,20.3,22.3,24.3,1,12
277,Pierre Strong Jr.,Cle,RB,0/0,0,0,0,12,52,0,12,66,0,16,11.8,17.8,23.8,1,9
278,Trevor Etienne,Car,RB,0/0,0,0,0,24,103,4,30,0,0,6,34.3,49.3,64.3,1,14
279,Sincere McCormick,LV,RB,0/0,0,0,0,24,101,1,31,0,0,6,16.1,31.6,47.1,1,8
280,Dare Ogunbowale,Hou,RB,0/0,0,0,0,11,45,0,7,55,0,9,10,13.5,17,1,6
281,Taijh Brooks,Cin,RB,0/0,0,0,0,25,101,1,42,0,0,8,16.1,37.1,58.1,1,10
282,Brashard Smith,KC,RB,0/0,0,0,0,10,40,0,7,0,0,7,4,7.5,11,1,10
283,Jordan Whittington,LAR,WR,0/0,0,0,0,2,14,0,21,240,2,31,37.4,47.9,58.4,1,8
284,Chiefs D/ST,KC,D/ST,0/0,0,0,0,0,0,0,0,0,0,0,95.4,95.4,95.4,1,10
285,Bears D/ST,Chi,D/ST,0/0,0,0,0,0,0,0,0,0,0,0,92.3,92.3,92.3,1,5
286,Jason Myers,Sea,K,0/0,0,0,0,0,0,0,0,0,0,0,135,135,135,1,8
287,Wil Lutz,Den,K,0/0,0,0,0,0,0,0,0,0,0,0,134.7,134.7,134.7,1,12
288,Tyler Higbee,LAR,TE,0/0,0,0,0,0,0,0,52,483,4,74,72.3,98.3,124.3,1,8
289,Theo Johnson,NYG,TE,0/0,0,0,0,0,0,0,7,547,3,10,72.7,76.2,79.7,1,14
290,Juwan Johnson,NO,TE,0/0,0,0,0,0,0,0,51,304,2,72,42.4,67.9,93.4,1,11
291,Ja'Tavion Sanders,Car,TE,0/0,0,0,0,0,0,0,44,443,2,61,56.3,78.3,100.3,1,14
292,Michael Mayer,LV,TE,0/0,0,0,0,0,0,0,32,315,2,26,43.5,59.5,75.5,1,8
293,Jalen Nailor,Min,WR,0/0,0,0,0,13,20,0,20,241,2,33,38.1,48.1,58.1,1,6
294,Devaughn Vele,NO,WR,0/0,0,0,0,22,224,3,33,0,0,0,40.4,56.9,73.4,1,11
295,Tyler Shough,ND,QB,233/376,2581,12,10,40,173,2,0,0,0,0,160.54,160.54,160.54,1,11
296,Rams D/ST,LAR,D/ST,0/0,0,0,0,0,0,0,0,0,0,0,87.2,87.2,87.2,1,8
297,49ers D/ST,SF,D/ST,0/0,0,0,0,0,0,0,0,0,0,0,75,75,75,1,14
298,Dolphins D/ST,Mia,D/ST,0/0,0,0,0,0,0,0,0,0,0,0,77.6,77.6,77.6,1,12
299,Chargers D/ST,LAC,D/ST,0/0,0,0,0,0,0,0,0,0,0,0,71,71,71,1,12
300,Tyler Shough,ND,QB,233/376,2581,12,10,40,173,2,0,0,0,0,160.54,160.54,160.54,1,11
