name,position,team,injury_status,pass_comp,pass_att,pass_yds,pass_td,int,rush_car,rush_yds,rush_td,rec,rec_yds,rec_td,tar,tackles,sacks,forced_fumbles,fum_rec,def_int,int_td,fum_td,espn_fpts
Bijan Robinson,RB,ATL,,0,0,0,0,0,286.4,1371.1,8.4,75.7,708.3,3.4,98.6,0,0,0,0,0,0,0,352.5
Jahmyr Gibbs,RB,DET,,0,0,0,0,0,283.1,1372.6,14.5,67.8,546.5,3.4,86.1,0,0,0,0,0,0,0,365.1
Puka Nacua,WR,LAR,,0,0,0,0,0,15.9,105.7,1.2,122.9,1589.2,9.8,174.3,0,0,0,0,0,0,0,356.5
Ja'Marr Chase,WR,CIN,,0,0,0,0,0,4.1,21.1,0.1,119.4,1506.6,10.7,171.7,0,0,0,0,0,0,0,336.1
Christian McCaffrey,RB,SF,,0,0,0,0,0,278.6,1149.2,9.6,79.8,692.3,5,100.1,0,0,0,0,0,0,0,350.4
Jaxon Smith-Njigba,WR,SEA,,0,0,0,0,0,4.6,25.1,0.2,116.7,1568.7,8.5,166.4,0,0,0,0,0,0,0,326.6
Amon-Ra St. Brown,WR,DET,,0,0,0,0,0,2.3,13.4,0.1,118.1,1429.8,10.4,166.8,0,0,0,0,0,0,0,324.3
Jonathan Taylor,RB,IND,,0,0,0,0,0,327.2,1510.3,11.6,47.4,346.2,1.3,57.6,0,0,0,0,0,0,0,308.8
De'Von Achane,RB,MIA,Q,0,0,0,0,0,257.7,1304.6,5,64.8,511.8,3,80.5,0,0,0,0,0,0,0,292.8
CeeDee Lamb,WR,DAL,,0,0,0,0,0,2.2,12.6,0.1,104.1,1381.3,8.6,158.5,0,0,0,0,0,0,0,294.8
Ashton Jeanty,RB,LV,,0,0,0,0,0,281.1,1136.4,7.1,64.9,495.1,2,86.7,0,0,0,0,0,0,0,281.5
Justin Jefferson,WR,MIN,,0,0,0,0,0,2,10.6,0.1,110.7,1375,7.3,166,0,0,0,0,0,0,0,293.5
James Cook III,RB,BUF,,0,0,0,0,0,299.9,1399.6,11,35.9,302.1,1.6,46,0,0,0,0,0,0,0,279.4
Jeremiyah Love,RB,ARI,,0,0,0,0,0,254.8,1129.1,6.7,65.1,489.5,2.2,85.9,0,0,0,0,0,0,0,278.8
Drake London,WR,ATL,Q,0,0,0,0,0,0,0,0,102,1250.9,7.3,158.8,0,0,0,0,0,0,0,269.7
Saquon Barkley,RB,PHI,,0,0,0,0,0,300.5,1285.5,8.7,43.1,370.9,2.3,59,0,0,0,0,0,0,0,273.4
Rashee Rice,WR,KC,Q,0,0,0,0,0,8.2,42.6,0.6,96.1,1132.7,9,135.9,0,0,0,0,0,0,0,269.8
Derrick Henry,RB,BAL,,0,0,0,0,0,316.9,1480.4,13.1,21.4,210.4,1.2,28,0,0,0,0,0,0,0,274.1
Nico Collins,WR,HOU,,0,0,0,0,0,2.1,11.8,0.1,86.4,1212.6,6.7,137.2,0,0,0,0,0,0,0,249.4
Omarion Hampton,RB,LAC,,0,0,0,0,0,270.4,1152.7,9.9,55.9,392.9,1.9,69,0,0,0,0,0,0,0,279.3
Malik Nabers,WR,NYG,Q,0,0,0,0,0,4,20.4,0.1,76.2,1002.9,6.5,120.1,0,0,0,0,0,0,0,218
Trey McBride,TE,ARI,,0,0,0,0,0,0,0,0,111.8,1068.2,5.6,154.7,0,0,0,0,0,0,0,251.6
Josh Jacobs,RB,GB,,0,0,0,0,0,300.2,1237.3,13,36,281.2,1.6,47.2,0,0,0,0,0,0,0,273.5
Brock Bowers,TE,LV,,0,0,0,0,0,4.2,15.5,0.2,98.4,997,6.6,135.4,0,0,0,0,0,0,0,240.4
Chase Brown,RB,CIN,,0,0,0,0,0,240.2,1045.1,7.4,64.1,434.2,2.8,80.1,0,0,0,0,0,0,0,272.3
Chris Olave,WR,NO,,0,0,0,0,0,0,0,0,90.4,1162.3,6.4,142.4,0,0,0,0,0,0,0,244.6
Breece Hall,RB,NYJ,,0,0,0,0,0,265,1163.1,7.5,52.1,435.7,2.7,63.7,0,0,0,0,0,0,0,273
