name,position,team,injury_status,pass_comp,pass_att,pass_yds,pass_td,int,rush_car,rush_yds,rush_td,rec,rec_yds,rec_td,tar,tackles,sacks,forced_fumbles,fum_rec,def_int,int_td,fum_td,espn_fpts
Mitchell Trubisky,QB,TEN,,15,23.6,154,0.7,0.7,1.1,2.5,0,0,0,0,0,0,0,0,0,0,0,0,7.7
Quinn Ewers,QB,MIA,,14.3,22.8,154.2,0.6,0.6,1,4.1,0,0,0,0,0,0,0,0,0,0,0,0,7.3
Gardner Minshew II,QB,ARI,,13.6,21.8,141.6,0.6,0.6,0.9,2.5,0,0,0,0,0,0,0,0,0,0,0,0,7.1
Jawhar Jordan,RB,HOU,,0,0,0,0,0,12.6,53.9,0.3,0,0,0,0,0,0,0,0,0,0,0,6.9
Malachi Corley,WR,CLE,,0,0,0,0,0,6.4,43.8,0.2,0,0,0,0,0,0,0,0,0,0,0,5.9
Chris Manhertz,TE,NYG,,0,0,0,0,0,0,0,0,1.8,16.2,0.1,2.5,0,0,0,0,0,0,0,4.2
Kameron Johnson,WR,TB,,0,0,0,0,0,2.2,12.1,0.1,0,0,0,0,0,0,0,0,0,0,0,3.6
Arian Smith,WR,NYJ,,0,0,0,0,0,4.3,23.6,0.2,0,0,0,0,0,0,0,0,0,0,0,3.5
Jimmy Horn Jr.,WR,CAR,,0,0,0,0,0,4.1,24.7,0.1,0,0,0,0,0,0,0,0,0,0,0,3.1
Charlie Jones,WR,CIN,Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5
British Brooks,RB,HOU,,0,0,0,0,0,4.2,18,0.1,0,0,0,0,0,0,0,0,0,0,0,2.4
Kene Nwangwu,RB,NYJ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3
Myles Price,WR,MIN,Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9
LaJohntay Wester,WR,BAL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7
Britain Covey,WR,PHI,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7
Nikko Remigio,WR,KC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4
Isaac Guerendo,RB,SF,Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3
Barion Brown,WR,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3
Jacob Cowing,WR,SF,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2
Ke'Shawn Williams,WR,CIN,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bam Knight,RB,ARI,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8
Devin Duvernay,WR,ARI,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8
Luke McCaffrey,WR,WSH,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8
Gage Larvadain,WR,CLE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7
Dylan Laube,RB,LV,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7
Efton Chism III,WR,NE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
Skyy Moore,WR,GB,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4
Dareke Young,WR,LV,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3
Jacob Saylors,RB,DET,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3
Rasheen Ali,RB,BAL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3
Jalen Brooks,WR,ARI,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3
Michael Bandy,WR,DEN,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
DeeJay Dallas,RB,JAX,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
Brycen Tremayne,WR,CAR,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
Josh Williams,RB,TB,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
Josh Cameron,WR,JAX,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
Jeshaun Jones,WR,MIN,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
Mason Kinsey,WR,TEN,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
Austin Seibert,K,FA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greg Joseph,K,FA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Badgley,K,FA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Younghoe Koo,K,NYJ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel Carlson,K,FA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Justin Tucker,K,FA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon McManus,K,FA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dustin Hopkins,K,FA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greg Zuerlein,K,FA,Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Prater,K,FA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Graham Gano,K,FA,Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matthew Wright,K,FA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Riley Patterson,K,MIA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anders Carlson,K,FA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christopher Dunn,K,FA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanner Brown,K,FA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucas Havrisik,K,GB,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joshua Karty,K,ARI,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brayden Narveson,K,FA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parker Romo,K,FA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jude McAtamney,K,FA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spencer Shrader,K,IND,Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caden Davis,K,FA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben Sauls,K,NYG,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
