name,position,team,pass_comp,pass_att,pass_yds,pass_td,int,rush_car,rush_yds,rush_td,rec,rec_yds,rec_td,tar,tackles,sacks,forced_fumbles,fum_rec,def_int,int_td,fum_td,espn_fpts
Bijan Robinson,RB,ATL,0,0,0,0,0,275,1317,8,77,720,3,101,0,0,0,0,0,0,0,349.9
Jahmyr Gibbs,RB,DET,0,0,0,0,0,290,1406,14,64,532,3,81,0,0,0,0,0,0,0,361.6
Puka Nacua,WR,LAR,0,0,0,0,0,17,113,1,115,1532,10,163,0,0,0,0,0,0,0,343
Ja'Marr Chase,WR,CIN,0,0,0,0,0,4,21,0,116,1478,11,166,0,0,0,0,0,0,0,329.1
Christian McCaffrey,RB,SF,0,0,0,0,0,281,1161,10,78,686,5,98,0,0,0,0,0,0,0,350
Jaxon Smith-Njigba,WR,SEA,0,0,0,0,0,5,26,0,112,1530,9,159,0,0,0,0,0,0,0,317.7
Amon-Ra St. Brown,WR,DET,0,0,0,0,0,2,14,0,112,1385,10,158,0,0,0,0,0,0,0,313.8
Jonathan Taylor,RB,IND,0,0,0,0,0,325,1503,12,46,342,1,56,0,0,0,0,0,0,0,306.5
CeeDee Lamb,WR,DAL,0,0,0,0,0,2,13,0,103,1370,9,156,0,0,0,0,0,0,0,292.4
De'Von Achane,RB,MIA,0,0,0,0,0,240,1213,5,69,526,3,86,0,0,0,0,0,0,0,289.3
Drake London,WR,ATL,0,0,0,0,0,0,0,0,104,1273,7,162,0,0,0,0,0,0,0,274.3
Justin Jefferson,WR,MIN,0,0,0,0,0,2,11,0,110,1368,7,165,0,0,0,0,0,0,0,291.7
Rashee Rice,WR,KC,0,0,0,0,0,8,43,1,99,1200,10,141,0,0,0,0,0,0,0,282.9
Malik Nabers,WR,NYG,0,0,0,0,0,4,23,0,98,1312,8,155,0,0,0,0,0,0,0,281.9
Jeremiyah Love,RB,ARI,0,0,0,0,0,243,1076,7,66,494,2,88,0,0,0,0,0,0,0,275.1
James Cook III,RB,BUF,0,0,0,0,0,305,1425,11,35,298,2,45,0,0,0,0,0,0,0,281
Trey McBride,TE,ARI,0,0,0,0,0,0,0,0,118,1123,6,164,0,0,0,0,0,0,0,264.7
Ashton Jeanty,RB,LV,0,0,0,0,0,274,1109,7,66,497,2,88,0,0,0,0,0,0,0,279.4
Nico Collins,WR,HOU,0,0,0,0,0,2,12,0,86,1204,7,136,0,0,0,0,0,0,0,247.8
Saquon Barkley,RB,PHI,0,0,0,0,0,306,1309,9,42,364,2,57,0,0,0,0,0,0,0,273.8
Derrick Henry,RB,BAL,0,0,0,0,0,323,1510,13,21,206,1,27,0,0,0,0,0,0,0,275.9
Josh Jacobs,RB,GB,0,0,0,0,0,301,1240,13,35,276,2,46,0,0,0,0,0,0,0,272.1
Brock Bowers,TE,LV,0,0,0,0,0,4,15,0,99,1000,7,137,0,0,0,0,0,0,0,241.6
Garrett Wilson,WR,NYJ,0,0,0,0,0,2,11,0,102,1205,5,154,0,0,0,0,0,0,0,255.6
Chris Olave,WR,NO,0,0,0,0,0,0,0,0,91,1169,6,144,0,0,0,0,0,0,0,246.2
George Pickens,WR,DAL,0,0,0,0,0,0,0,0,79,1108,8,123,0,0,0,0,0,0,0,237.6
A.J. Brown,WR,PHI,0,0,0,0,0,0,0,0,86,1237,7,129,0,0,0,0,0,0,0,251.7
Josh Allen,QB,BUF,332,496,3896,26,11,116,580,12,0,0,0,0,0,0,0,0,0,0,0,367.1
Omarion Hampton,RB,LAC,0,0,0,0,0,271,1158,10,54,383,2,67,0,0,0,0,0,0,0,276.8
Chase Brown,RB,CIN,0,0,0,0,0,253,1101,8,58,394,3,72,0,0,0,0,0,0,0,267.6
DeVonta Smith,WR,PHI,0,0,0,0,0,0,0,0,87,1106,6,124,0,0,0,0,0,0,0,233.1
Tetairoa McMillan,WR,CAR,0,0,0,0,0,0,0,0,82,1184,6,139,0,0,0,0,0,0,0,237.3
Zay Flowers,WR,BAL,0,0,0,0,0,10,58,0,82,1197,6,117,0,0,0,0,0,0,0,242.6
Breece Hall,RB,NYJ,0,0,0,0,0,263,1154,8,51,434,3,64,0,0,0,0,0,0,0,271.5
Kenneth Walker III,RB,KC,0,0,0,0,0,280,1253,9,46,366,2,57,0,0,0,0,0,0,0,269.1
Lamar Jackson,QB,BAL,291,449,3810,26,10,122,668,4,0,0,0,0,0,0,0,0,0,0,0,318.9
Jayden Daniels,QB,WSH,346,518,3845,22,10,130,663,5,0,0,0,0,0,0,0,0,0,0,0,318.2
Jalen Hurts,QB,PHI,317,482,3716,23,9,106,437,9,0,0,0,0,0,0,0,0,0,0,0,317.3
Drake Maye,QB,NE,339,497,4002,27,11,100,527,4,0,0,0,0,0,0,0,0,0,0,0,314.6
Javonte Williams,RB,DAL,0,0,0,0,0,296,1296,11,37,217,2,50,0,0,0,0,0,0,0,262.4
Kyren Williams,RB,LAR,0,0,0,0,0,267,1211,11,31,217,2,42,0,0,0,0,0,0,0,248.6
Travis Etienne Jr.,RB,NO,0,0,0,0,0,261,1131,6,45,378,2,61,0,0,0,0,0,0,0,243.4
Cam Skattebo,RB,NYG,0,0,0,0,0,248,1044,7,49,359,2,60,0,0,0,0,0,0,0,240.4
Davante Adams,WR,LAR,0,0,0,0,0,0,0,0,66,1031,11,121,0,0,0,0,0,0,0,234.9
Terry McLaurin,WR,WSH,0,0,0,0,0,0,0,0,80,1040,6,118,0,0,0,0,0,0,0,218.6
Tee Higgins,WR,CIN,0,0,0,0,0,0,0,0,71,938,8,111,0,0,0,0,0,0,0,214.1
Jaylen Waddle,WR,DEN,0,0,0,0,0,2,12,0,78,1024,6,120,0,0,0,0,0,0,0,219.1
Colston Loveland,TE,CHI,0,0,0,0,0,0,0,0,79,894,6,117,0,0,0,0,0,0,0,204.9
Carnell Tate,WR,TEN,0,0,0,0,0,0,0,0,76,1021,4,123,0,0,0,0,0,0,0,203
Ladd McConkey,WR,LAC,0,0,0,0,0,0,0,0,77,1006,6,118,0,0,0,0,0,0,0,215.6
Bucky Irving,RB,TB,0,0,0,0,0,264,1070,6,38,311,2,47,0,0,0,0,0,0,0,221.9
Quinshon Judkins,RB,CLE,0,0,0,0,0,305,1196,7,33,224,1,42,0,0,0,0,0,0,0,219.5
Emeka Egbuka,WR,TB,0,0,0,0,0,2,12,0,62,1018,7,115,0,0,0,0,0,0,0,207.4
Jameson Williams,WR,DET,0,0,0,0,0,7,48,1,61,1001,6,97,0,0,0,0,0,0,0,202.8
DJ Moore,WR,BUF,0,0,0,0,0,7,37,0,65,931,7,105,0,0,0,0,0,0,0,206.5
Rome Odunze,WR,CHI,0,0,0,0,0,0,0,0,59,1025,8,117,0,0,0,0,0,0,0,212
Michael Pittman Jr.,WR,PIT,0,0,0,0,0,0,0,0,90,869,4,133,0,0,0,0,0,0,0,199.1
Marvin Harrison Jr.,WR,ARI,0,0,0,0,0,0,0,0,70,967,5,129,0,0,0,0,0,0,0,196.3
Courtland Sutton,WR,DEN,0,0,0,0,0,0,0,0,67,875,8,115,0,0,0,0,0,0,0,200.1
Luther Burden III,WR,CHI,0,0,0,0,0,9,51,0,74,934,5,112,0,0,0,0,0,0,0,205
Tyler Warren,TE,IND,0,0,0,0,0,6,14,0,85,859,5,113,0,0,0,0,0,0,0,204.9
Joe Burrow,QB,CIN,373,551,4055,33,11,52,188,2,0,0,0,0,0,0,0,0,0,0,0,301.3
Jaxson Dart,QB,NYG,324,499,3671,21,10,100,550,7,0,0,0,0,0,0,0,0,0,0,0,300
DK Metcalf,WR,PIT,0,0,0,0,0,0,0,0,66,951,6,116,0,0,0,0,0,0,0,197.2
Alec Pierce,WR,IND,0,0,0,0,0,0,0,0,66,1010,5,113,0,0,0,0,0,0,0,199.7
Jordyn Tyson,WR,NO,0,0,0,0,0,0,0,0,68,922,5,111,0,0,0,0,0,0,0,189.5
TreVeyon Henderson,RB,NE,0,0,0,0,0,202,888,7,41,293,2,50,0,0,0,0,0,0,0,209.4
Bhayshul Tuten,RB,JAX,0,0,0,0,0,245,1026,7,32,245,1,44,0,0,0,0,0,0,0,208.2
Kyle Pitts Sr.,TE,ATL,0,0,0,0,0,0,0,0,82,872,3,117,0,0,0,0,0,0,0,188.1
D'Andre Swift,RB,CHI,0,0,0,0,0,229,1040,8,30,269,1,41,0,0,0,0,0,0,0,216.9
Chuba Hubbard,RB,CAR,0,0,0,0,0,231,929,5,45,332,2,57,0,0,0,0,0,0,0,210.4
Jadarian Price,RB,SEA,0,0,0,0,0,223,925,8,27,219,1,36,0,0,0,0,0,0,0,195
Chris Godwin Jr.,WR,TB,0,0,0,0,0,0,0,0,69,835,5,105,0,0,0,0,0,0,0,184.7
Mike Evans,WR,SF,0,0,0,0,0,0,0,0,57,911,6,99,0,0,0,0,0,0,0,185.4
Jakobi Meyers,WR,JAX,0,0,0,0,0,6,33,0,71,794,5,109,0,0,0,0,0,0,0,186.9
Parker Washington,WR,JAX,0,0,0,0,0,8,40,0,65,880,5,109,0,0,0,0,0,0,0,193
Christian Watson,WR,GB,0,0,0,0,0,2,13,0,56,905,7,96,0,0,0,0,0,0,0,192.8
