"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
"Malik Willis","MIA","493.1","317.8","3368.4","17.7","12.5","124.5","641.1","4.1","6.1","269.6"
"Jordan Love","GB","510.4","331.3","3843.9","26.7","10.2","46.5","194.7","0.6","3.0","267.7"
"Sam Darnold","SEA","506.2","336.7","4088.5","27.3","12.8","44.0","131.9","0.6","5.3","266.5"
"C.J. Stroud","HOU","551.0","347.4","3876.9","23.5","11.4","54.0","238.6","1.0","3.5","260.6"
"Bryce Young","CAR","514.2","326.3","3369.6","22.1","12.4","58.3","257.5","3.0","3.0","248.9"
"Geno Smith","NYJ","520.5","340.4","3457.4","22.1","14.8","57.3","209.6","1.0","2.2","234.6"
"Jacoby Brissett","ARI","541.2","347.3","3592.0","19.7","10.4","48.7","214.1","1.4","4.8","232.4"
"Cam Ward","TEN","564.0","345.3","3587.8","19.8","10.4","44.2","185.1","2.0","5.4","232.1"
"Aaron Rodgers","PIT","527.1","338.9","3480.9","22.0","9.4","26.0","82.5","0.6","2.7","224.5"
"Fernando Mendoza","LV","430.6","275.8","2888.5","16.1","11.8","50.4","227.1","1.3","2.7","193.1"
"Tua Tagovailoa","ATL","379.3","248.7","2724.3","15.8","8.3","19.6","46.6","0.1","2.3","164.5"
"Shedeur Sanders","CLE","298.0","177.6","1924.8","10.7","9.9","30.1","178.8","1.2","1.7","131.7"
"Deshaun Watson","CLE","243.8","150.8","1623.7","7.8","6.3","35.7","159.4","1.0","1.8","108.0"
"Michael Penix Jr.","ATL","188.7","119.1","1350.4","7.2","3.7","13.5","47.0","0.3","1.0","83.6"
"Kirk Cousins","LV","113.7","74.1","783.5","5.1","3.9","5.2","9.0","0.1","0.9","47.2"
"Ty Simpson","LAR","40.9","25.8","298.2","2.6","0.8","4.1","18.4","0.0","0.1","23.4"
"Carson Beck","ARI","49.1","30.9","337.5","2.2","1.2","5.2","20.1","0.1","0.2","23.1"
"J.J. McCarthy","MIN","48.6","30.2","340.3","1.8","1.4","5.9","27.0","0.2","0.4","22.5"
"Marcus Mariota","WAS","34.3","21.7","254.1","2.0","0.8","1.4","7.9","0.0","0.1","18.0"
"Davis Mills","HOU","27.2","16.7","182.5","1.3","0.5","2.7","9.0","0.0","0.1","12.7"
"Riley Leonard","IND","27.2","17.2","193.0","1.3","0.5","2.7","11.5","0.0","0.6","12.4"
"Shane Buechele","BUF","20.0","14.0","151.0","1.0","0.0","4.0","20.0","0.0","0.0","12.0"
"Justin Fields","KC","26.2","16.3","175.1","1.0","0.8","3.6","18.4","0.1","0.1","12.0"
"Jameis Winston","NYG","26.1","15.5","194.8","1.3","1.3","2.6","10.9","0.0","0.6","11.7"
"Quinn Ewers","MIA","24.5","16.0","167.6","1.2","0.9","3.0","11.7","0.0","0.1","11.5"
"Joshua Dobbs","DET","20.0","14.0","162.0","1.0","0.0","5.0","10.0","0.0","0.0","11.5"
"Tyson Bagent","CHI","23.0","14.7","168.0","1.0","0.2","2.8","8.6","0.0","0.1","11.4"
"Will Levis","TEN","23.0","14.0","137.0","1.0","0.0","4.0","19.0","0.0","0.0","11.4"
"Jarrett Stidham","DEN","23.1","14.4","152.7","1.1","0.3","3.3","12.9","0.0","0.1","11.3"
"Jake Browning","TB","22.5","14.3","157.5","1.0","0.9","3.1","15.8","0.0","0.1","11.3"
"Tyrod Taylor","GB","25.0","15.4","173.6","0.9","0.8","2.1","10.7","0.0","0.2","10.9"
"Tommy DeVito","NE","22.5","14.6","149.8","1.0","0.4","1.9","9.5","0.1","0.1","10.6"
"Tyler Huntley","BAL","18.3","11.8","131.3","0.9","0.3","3.5","18.7","0.0","0.1","10.6"
"Mac Jones","SF","22.5","14.9","160.2","1.0","0.5","2.7","8.4","0.0","0.1","10.5"
"Trey Lance","LAC","22.2","13.6","148.2","1.0","0.8","2.7","13.4","0.0","0.1","10.4"
"Anthony Richardson Sr.","IND","16.0","10.0","109.0","1.0","0.0","5.0","20.0","0.0","0.0","10.4"
"Tanner McKee","PHI","20.3","12.8","141.1","1.0","0.2","3.0","9.9","0.0","0.0","10.3"
"Joe Flacco","CIN","24.8","16.1","169.2","1.2","0.8","2.2","8.6","0.0","0.6","10.3"
"Spencer Rattler","NO","23.0","15.0","156.8","0.9","0.8","2.7","12.1","0.0","0.1","10.2"
"Kenny Pickett","CAR","22.5","14.4","155.6","1.0","0.8","2.8","10.9","0.0","0.1","10.2"
"Sam Howell","DAL","22.0","13.9","144.7","1.1","0.7","1.3","7.0","0.1","0.1","10.2"
"Drew Lock","SEA","20.6","13.0","146.7","0.9","0.8","3.1","13.1","0.0","0.1","10.0"
"Andy Dalton","PHI","19.0","13.0","140.0","1.0","0.0","5.0","23.0","0.0","1.0","9.9"
"Behren Morton","NE","15.0","10.0","121.0","1.0","0.0","2.0","10.0","0.0","0.0","9.8"
"Nick Mullens","JAC","18.8","13.2","140.1","1.1","0.4","3.1","3.7","0.0","0.1","9.8"
"Chris Oladokun","KC","23.0","14.0","148.0","1.0","0.0","4.0","18.0","0.0","1.0","9.7"
"Gardner Minshew II","ARI","22.9","14.3","147.9","0.8","0.3","2.4","9.3","0.0","0.1","9.7"
"Cade Klubnik","NYJ","20.6","13.0","136.8","0.9","0.6","1.8","8.2","0.0","0.1","9.4"
"Drew Allar","PIT","19.5","12.5","130.6","0.9","0.3","1.7","6.8","0.0","0.1","9.3"
"Adrian Martinez","SF","16.0","11.0","115.0","1.0","0.0","3.0","7.0","0.0","0.0","9.3"
"Cole Payton","PHI","14.0","10.0","106.0","1.0","0.0","2.0","10.0","0.0","0.0","9.2"
"Garrett Nussmeier","KC","17.0","11.0","111.0","1.0","0.0","2.0","8.0","0.0","0.0","9.2"
"Kyle Allen","BUF","21.0","12.4","138.3","1.0","0.6","2.0","4.0","0.0","0.1","9.1"
"Mitchell Trubisky","TEN","23.3","13.5","138.5","0.8","0.4","2.6","4.7","0.0","0.1","9.0"
"Jalen Milroe","SEA","11.0","7.0","90.0","1.0","0.0","5.0","14.0","0.0","0.0","9.0"
"Joe Milton III","DAL","16.3","10.3","119.3","0.7","0.3","3.0","14.3","0.0","0.0","8.5"
"Will Howard","PIT","14.0","8.7","95.7","0.7","0.3","1.3","5.0","0.0","0.0","6.7"
"Mason Rudolph","PIT","10.5","6.5","67.0","0.5","0.0","2.0","8.5","0.0","0.0","5.5"
"Brady Cook","NYJ","10.0","6.5","60.0","0.5","0.5","2.0","10.0","0.0","0.0","4.9"
"Josh Johnson","CIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Stetson Bennett IV","LAR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Aidan O'Connell","LV","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
