"Player","Team","REC","YDS","TDS","FL","FPTS"
"Evan Engram","DEN","53.4","472.2","2.7","0.1","90.0"
"Gunnar Helm","TEN","48.9","443.0","3.1","0.2","87.0"
"Mason Taylor","NYJ","44.5","390.9","2.4","0.1","75.4"
"Colby Parkinson","LAR","34.3","354.4","3.9","0.6","74.7"
"David Njoku","LAC","34.7","323.9","3.9","0.1","73.1"
"Michael Mayer","LV","40.0","377.4","2.1","0.1","70.1"
"Dawson Knox","BUF","28.6","329.0","2.9","0.1","64.6"
"Theo Johnson","NYG","27.5","313.9","2.9","0.1","62.2"
"Darnell Washington","PIT","30.7","328.1","2.0","0.6","58.6"
"Tyler Higbee","LAR","26.1","306.5","2.4","0.0","58.1"
"Cole Kmet","CHI","25.9","271.4","2.2","0.1","53.3"
"Ja'Tavion Sanders","CAR","29.7","264.6","2.0","0.1","53.2"
"Noah Fant","NO","30.8","285.7","1.7","1.6","50.8"
"Tommy Tremble","CAR","26.6","254.0","2.0","0.1","50.3"
"Will Kacmarek","MIA","26.6","250.8","1.9","0.6","48.5"
"Erick All Jr.","CIN","26.6","228.9","1.6","0.1","45.8"
"Charlie Kolar","LAC","20.2","230.0","2.0","0.1","45.3"
"Austin Hooper","ATL","22.5","236.7","1.6","0.1","44.4"
"Josh Oliver","MIN","18.6","193.9","2.4","0.1","42.8"
"Eli Stowers","PHI","22.7","232.4","1.5","0.6","42.5"
"Daniel Bellinger","TEN","19.3","222.3","1.7","0.0","42.3"
"Brock Wright","DET","19.4","175.1","2.3","0.0","41.0"
"Noah Gray","KC","21.0","211.2","1.5","0.1","40.3"
"Luke Musgrave","GB","21.7","211.6","1.2","0.0","39.0"
"Elijah Arroyo","SEA","19.0","198.7","1.6","0.1","38.7"
"Jake Tonges","SF","19.1","200.0","1.5","0.1","38.5"
"Adam Trautman","DEN","19.4","194.5","1.5","0.0","38.0"
"Eli Raridon","NE","18.8","195.8","1.5","0.6","37.1"
"Davis Allen","LAR","16.9","157.3","1.9","0.0","35.4"
"Ben Sims","MIA","19.5","184.7","1.2","0.0","35.2"
"Marlin Klein","HOU","19.5","193.6","1.1","0.5","34.7"
"Elijah Higgins","ARI","22.0","196.1","0.8","0.6","34.5"
"John Bates","WAS","17.6","171.4","1.6","0.6","34.3"
"Jeremy Ruckert","NYJ","19.7","145.8","1.3","0.0","32.0"
"Mitchell Evans","CAR","15.0","139.1","1.5","0.1","30.2"
"Drew Sample","CIN","17.3","146.3","1.2","0.1","29.9"
"Nate Boerkircher","JAC","14.9","155.3","1.3","0.5","29.6"
"Connor Heyward","LV","14.0","103.0","2.0","0.0","29.3"
"Nick Vannett","SEA","10.0","95.0","2.0","0.0","26.5"
"Nate Adkins","DEN","11.9","88.8","1.8","0.0","25.8"
"Cade Stover","HOU","15.2","128.1","0.9","0.1","25.5"
"Ben Sinnott","WAS","11.1","115.4","1.4","0.0","25.4"
"Jackson Hawes","BUF","10.5","115.1","1.4","0.0","25.4"
"Zack Kuntz","DAL","12.0","128.0","1.0","0.0","24.8"
"Jack Endries","CIN","13.0","123.0","1.0","0.0","24.8"
"Luke Schoonmaker","DAL","13.2","121.6","0.9","0.0","24.4"
"Will Mallory","IND","11.0","126.0","1.0","0.0","24.1"
"Charlie Woerner","ATL","14.5","127.3","0.6","0.0","23.5"
"Grant Calcaterra","PHI","11.0","115.5","1.0","0.0","23.1"
"Foster Moreau","HOU","9.3","105.6","1.3","0.0","22.9"
"Teagan Quitoriano","ARI","12.0","109.0","1.0","0.0","22.9"
"Bauer Sharp","TB","11.0","113.0","1.0","0.0","22.8"
"Tanner Hudson","CIN","13.1","110.2","0.9","0.1","22.7"
"Cam Grandy","CIN","13.0","100.0","1.0","0.0","22.5"
"Zaire Mitchell-Paden","NO","11.0","107.0","1.0","0.0","22.2"
"Mo Alie-Cox","IND","10.8","111.0","0.9","0.1","21.7"
"Jaheim Bell","PIT","10.0","98.0","1.0","0.0","20.8"
"Jaren Kanak","TEN","10.0","96.0","1.0","0.0","20.6"
"Durham Smythe","BAL","9.8","94.0","0.7","0.1","18.6"
"Max Klare","LAR","7.5","82.6","0.7","0.0","16.1"
"Justin Joly","DEN","8.0","71.4","0.7","0.0","15.0"
"Oscar Delp","NO","7.5","75.7","0.6","0.0","15.0"
"Brevyn Spann-Ford","DAL","7.4","71.4","0.7","0.0","14.8"
"Devin Culp","TB","5.5","59.0","1.0","0.0","14.7"
"Tanner Koziol","JAC","7.0","72.8","0.6","0.0","14.6"
"Payne Durham","TB","7.2","70.7","0.6","0.1","14.4"
"Sam Roush","CHI","6.8","70.9","0.6","0.0","14.3"
"Josh Cuevas","BAL","5.7","66.4","0.6","0.0","13.3"
"Ian Thomas","LV","6.9","62.0","0.6","0.0","13.1"
"Hunter Long","JAC","5.0","44.5","1.0","0.0","13.0"
"Joe Royer","CLE","7.5","67.2","0.3","0.1","12.4"
"Chris Manhertz","NYG","5.4","50.7","0.6","0.0","11.1"
"Lucas Krull","DEN","6.0","44.5","0.5","0.0","10.5"
"Cole Turner","MIA","4.5","44.0","0.5","0.0","9.7"
"Luke Farrell","SF","4.2","40.7","0.3","0.0","7.9"
"Ko Kieft","TB","3.7","36.1","0.3","0.0","7.2"
