name,position,team,injury_status,pass_comp,pass_att,pass_yds,pass_td,int,rush_car,rush_yds,rush_td,rec,rec_yds,rec_td,tar,tackles,sacks,forced_fumbles,fum_rec,def_int,int_td,fum_td,espn_fpts
Jahmyr Gibbs,RB,DET,,0,0,0,0,0,283.1,1372.6,14.5,67.8,545.9,3.4,86,0,0,0,0,0,0,0,364.9
Bijan Robinson,RB,ATL,,0,0,0,0,0,286.5,1372.4,8.4,75.8,707.7,3.4,98.6,0,0,0,0,0,0,0,352.8
Ja'Marr Chase,WR,CIN,,0,0,0,0,0,4,20.9,0.1,119.7,1508.8,10.8,172.4,0,0,0,0,0,0,0,337.5
Puka Nacua,WR,LAR,Q,0,0,0,0,0,15.9,105.7,1.2,122.9,1590.4,9.7,174.3,0,0,0,0,0,0,0,356.3
Jaxon Smith-Njigba,WR,SEA,,0,0,0,0,0,4.6,25.2,0.2,116.7,1569.1,8.5,166.3,0,0,0,0,0,0,0,326.7
Christian McCaffrey,RB,SF,Q,0,0,0,0,0,274.2,1130.9,9.2,79.1,683.9,4.8,100.1,0,0,0,0,0,0,0,343.2
Jonathan Taylor,RB,IND,,0,0,0,0,0,324.9,1499.8,11.6,50.7,390.4,1.5,63.2,0,0,0,0,0,0,0,316.5
Amon-Ra St. Brown,WR,DET,,0,0,0,0,0,2.3,13.4,0.1,118.1,1425.6,10.4,166.6,0,0,0,0,0,0,0,324
CeeDee Lamb,WR,DAL,,0,0,0,0,0,2.2,12.7,0.1,103.3,1375.5,8.6,157.5,0,0,0,0,0,0,0,293.5
De'Von Achane,RB,MIA,,0,0,0,0,0,258,1308.5,5,64.8,511.2,3,80.4,0,0,0,0,0,0,0,293.5
Justin Jefferson,WR,MIN,,0,0,0,0,0,2,10.6,0.1,110.7,1375.7,7.4,165.9,0,0,0,0,0,0,0,293.7
James Cook III,RB,BUF,,0,0,0,0,0,300,1401.2,11,35.9,302.1,1.6,46,0,0,0,0,0,0,0,279.6
Ashton Jeanty,RB,LV,,0,0,0,0,0,279.1,1127.7,7.1,65.2,495.8,2,87.1,0,0,0,0,0,0,0,280.9
Drake London,WR,ATL,,0,0,0,0,0,0,0,0,102.1,1249.7,7.3,158.8,0,0,0,0,0,0,0,269.8
Jeremiyah Love,RB,ARI,Q,0,0,0,0,0,254.6,1127.8,6.6,65.2,488.4,2.2,85.9,0,0,0,0,0,0,0,278.5
Rashee Rice,WR,KC,,0,0,0,0,0,8.3,42.8,0.6,96.4,1133.9,9.1,135.7,0,0,0,0,0,0,0,271
Trey McBride,TE,ARI,,0,0,0,0,0,0,0,0,107.8,1023.2,5.3,149,0,0,0,0,0,0,0,241.9
Saquon Barkley,RB,PHI,,0,0,0,0,0,300.5,1285.4,8.7,43.2,371.1,2.3,59,0,0,0,0,0,0,0,273.6
Derrick Henry,RB,BAL,,0,0,0,0,0,317.1,1483.5,13.1,21.4,210.3,1.2,28,0,0,0,0,0,0,0,274.7
Chase Brown,RB,CIN,,0,0,0,0,0,238.5,1038.3,7.4,64.3,434.9,2.9,80.5,0,0,0,0,0,0,0,272.1
Kenneth Walker III,RB,KC,,0,0,0,0,0,276.6,1239.1,9.1,48.3,376.4,1.7,59.7,0,0,0,0,0,0,0,274
Omarion Hampton,RB,LAC,,0,0,0,0,0,254,1084.4,9.4,51.6,363.3,1.8,63.7,0,0,0,0,0,0,0,261.7
Breece Hall,RB,NYJ,Q,0,0,0,0,0,265.1,1164.5,7.6,52.1,440.7,2.7,63.7,0,0,0,0,0,0,0,274.2
Brock Bowers,TE,LV,,0,0,0,0,0,4.2,15.4,0.2,98.9,998.6,6.6,136,0,0,0,0,0,0,0,240.9
Nico Collins,WR,HOU,,0,0,0,0,0,2.1,11.8,0.1,86.7,1205.8,6.7,137.1,0,0,0,0,0,0,0,249
Chris Olave,WR,NO,,0,0,0,0,0,0,0,0,91.3,1197.5,6.7,143.8,0,0,0,0,0,0,0,250.4
Garrett Wilson,WR,NYJ,,0,0,0,0,0,2.2,10.8,0.1,99.9,1176.3,5.3,148.6,0,0,0,0,0,0,0,249.9
A.J. Brown,WR,NE,,0,0,0,0,0,0,0,0,86,1214.2,6.9,129.7,0,0,0,0,0,0,0,248.6
Malik Nabers,WR,NYG,Q,0,0,0,0,0,4.4,22.9,0.1,86.1,1136.4,7.3,136.7,0,0,0,0,0,0,0,246
Josh Jacobs,RB,GB,Q,0,0,0,0,0,277.7,1143.7,12.2,36,279.9,1.6,47.2,0,0,0,0,0,0,0,259.1
Javonte Williams,RB,DAL,,0,0,0,0,0,289.5,1266.1,11.1,36.9,218.1,1.5,50.6,0,0,0,0,0,0,0,259.3
George Pickens,WR,DAL,,0,0,0,0,0,0,0,0,79.5,1111.5,8.2,123.7,0,0,0,0,0,0,0,238.5
Tetairoa McMillan,WR,CAR,,0,0,0,0,0,0,0,0,83.6,1185,5.9,141.1,0,0,0,0,0,0,0,236.5
Zay Flowers,WR,BAL,,0,0,0,0,0,9.8,57.4,0.4,81.7,1171.5,5.5,116.6,0,0,0,0,0,0,0,238.8
DeVonta Smith,WR,PHI,Q,0,0,0,0,0,0,0,0,90.5,1129.9,6,127.8,0,0,0,0,0,0,0,239.2
Josh Allen,QB,BUF,,340.1,508.7,3946.4,26.3,11.6,116.4,579.9,12.5,0,0,0,0,0,0,0,0,0,0,0,369.7
Travis Etienne Jr.,RB,NO,,0,0,0,0,0,262.7,1142,6.2,44.8,385.5,2.1,60.6,0,0,0,0,0,0,0,246.1
Kyren Williams,RB,LAR,,0,0,0,0,0,236.5,1071.2,10.2,33.4,223.9,1.6,45,0,0,0,0,0,0,0,232.1
Quinshon Judkins,RB,CLE,Q,0,0,0,0,0,316.7,1245,7.3,31.8,221.4,0.7,41.4,0,0,0,0,0,0,0,226.4
Cam Skattebo,RB,NYG,,0,0,0,0,0,244.6,1025.7,7.1,44.9,332.4,1.5,55.7,0,0,0,0,0,0,0,230.4
Bucky Irving,RB,TB,,0,0,0,0,0,244.2,991.2,5.3,36.8,294,1.7,45.3,0,0,0,0,0,0,0,207.1
Emeka Egbuka,WR,TB,Q,0,0,0,0,0,2.2,11.9,0.1,69.6,1127.3,7.5,128,0,0,0,0,0,0,0,229
Davante Adams,WR,LAR,,0,0,0,0,0,0,0,0,67.5,1016.5,10.6,123.7,0,0,0,0,0,0,0,232.3
Ladd McConkey,WR,LAC,,0,0,0,0,0,0,0,0,79.6,1039.4,6.3,122.1,0,0,0,0,0,0,0,221
Terry McLaurin,WR,WSH,,0,0,0,0,0,0,0,0,77,1053.4,6.1,118.5,0,0,0,0,0,0,0,218.7
Tee Higgins,WR,CIN,,0,0,0,0,0,0,0,0,73.3,956.1,8.4,114.9,0,0,0,0,0,0,0,219.4
Jaylen Waddle,WR,DEN,,0,0,0,0,0,2,12.2,0.1,76.6,993.5,6,118.6,0,0,0,0,0,0,0,213.3
Rome Odunze,WR,CHI,,0,0,0,0,0,0,0,0,59.3,1029,8.4,118.3,0,0,0,0,0,0,0,212.6
Colston Loveland,TE,CHI,,0,0,0,0,0,0,0,0,80.2,897.4,6,118.3,0,0,0,0,0,0,0,205.9
Tyler Warren,TE,IND,Q,0,0,0,0,0,6.2,14.4,0.4,85,894.4,5.5,115.8,0,0,0,0,0,0,0,210.9
Jameson Williams,WR,DET,,0,0,0,0,0,7,45,0.6,64.2,1026.2,5.7,102.1,0,0,0,0,0,0,0,208.4
DJ Moore,WR,BUF,Q,0,0,0,0,0,6.9,36,0.4,67.2,945.3,7,107.4,0,0,0,0,0,0,0,209.5
Luther Burden III,WR,CHI,Q,0,0,0,0,0,9.1,49.5,0.4,75,937.2,5.1,113.1,0,0,0,0,0,0,0,205.9
Carnell Tate,WR,TEN,Q,0,0,0,0,0,0,0,0,74.5,1023.7,4.5,121.2,0,0,0,0,0,0,0,202.4
Jayden Daniels,QB,WSH,,346.8,519.3,3850.7,22.4,9.9,131,670,5.1,0,0,0,0,0,0,0,0,0,0,0,318.4
Lamar Jackson,QB,BAL,,302.8,466.6,3887.5,26,9.7,122.2,671.2,3.7,0,0,0,0,0,0,0,0,0,0,0,322.9
Drake Maye,QB,NE,,355,519.6,4096.1,27,11.2,101,531.9,4.1,0,0,0,0,0,0,0,0,0,0,0,319.4
Jalen Hurts,QB,PHI,,327.5,499.1,3778.7,23.5,9.2,106.3,437.8,9.1,0,0,0,0,0,0,0,0,0,0,0,320.3
Bhayshul Tuten,RB,JAX,,0,0,0,0,0,237.2,993.8,6.7,33.7,250.3,1.4,45.3,0,0,0,0,0,0,0,205.3
D'Andre Swift,RB,CHI,,0,0,0,0,0,219.3,994.3,8.1,30.4,269.4,1.1,41.1,0,0,0,0,0,0,0,211.7
David Montgomery,RB,HOU,,0,0,0,0,0,214.6,932,7,31.5,229.9,0.6,38.4,0,0,0,0,0,0,0,192.7
Jadarian Price,RB,SEA,,0,0,0,0,0,222.6,922.5,7.9,27.1,212.4,1.3,35.3,0,0,0,0,0,0,0,194.1
TreVeyon Henderson,RB,NE,,0,0,0,0,0,190.2,836.7,6.7,38.9,268.2,1.4,46.7,0,0,0,0,0,0,0,197.4
Rhamondre Stevenson,RB,NE,,0,0,0,0,0,173.7,740.3,6.8,42.6,349.6,2.1,51.9,0,0,0,0,0,0,0,202.8
Courtland Sutton,WR,DEN,,0,0,0,0,0,0,0,0,69.2,895,7.6,118.6,0,0,0,0,0,0,0,204.4
Michael Pittman Jr.,WR,PIT,Q,0,0,0,0,0,0,0,0,88.4,863.3,3.9,130.3,0,0,0,0,0,0,0,197.3
Marvin Harrison Jr.,WR,ARI,,0,0,0,0,0,0,0,0,68.8,954,5,126,0,0,0,0,0,0,0,193.8
DK Metcalf,WR,PIT,Q,0,0,0,0,0,0,0,0,64.8,944.5,6.2,113.3,0,0,0,0,0,0,0,196
Parker Washington,WR,JAX,Q,0,0,0,0,0,8,38.9,0.3,63.8,850.6,5.2,107.7,0,0,0,0,0,0,0,187.3
Alec Pierce,WR,IND,O,0,0,0,0,0,0,0,0,60.6,947.8,5.3,105.3,0,0,0,0,0,0,0,186.7
Kyle Pitts Sr.,TE,ATL,,0,0,0,0,0,0,0,0,80.5,857.5,3.2,115,0,0,0,0,0,0,0,185.1
Harold Fannin Jr.,TE,CLE,,0,0,0,0,0,8.5,21.2,0.3,83,819,3.2,118.9,0,0,0,0,0,0,0,187.7
Sam LaPorta,TE,DET,,0,0,0,0,0,0,0,0,78.3,786.6,5.4,102.1,0,0,0,0,0,0,0,188.6
Joe Burrow,QB,CIN,,387.2,571.9,4131.9,33,10.9,51.7,188.8,2.1,0,0,0,0,0,0,0,0,0,0,0,304.7
Jaxson Dart,QB,NYG,,327.1,504,3685.4,20.8,10.2,100.8,552.4,6.5,0,0,0,0,0,0,0,0,0,0,0,300.3
Mike Evans,WR,SF,Q,0,0,0,0,0,0,0,0,57.1,903.2,5.9,101.3,0,0,0,0,0,0,0,182.6
Christian Watson,WR,GB,,0,0,0,0,0,2.2,13.1,0.1,54.8,866.1,7,94.3,0,0,0,0,0,0,0,185.1
Matthew Golden,WR,GB,,0,0,0,0,0,4.5,24.8,0.2,66.7,870.1,4.7,104.8,0,0,0,0,0,0,0,185
Michael Wilson,WR,ARI,,0,0,0,0,0,0,0,0,70.6,860.3,3.4,114.6,0,0,0,0,0,0,0,176.5
Brian Thomas Jr.,WR,JAX,,0,0,0,0,0,4,23.1,0.2,57.1,860.7,5.1,102,0,0,0,0,0,0,0,176.7
Jakobi Meyers,WR,JAX,,0,0,0,0,0,6,32,0.3,69.8,767.1,5.2,107.7,0,0,0,0,0,0,0,182
Trevor Lawrence,QB,JAX,,347.2,560,3932.5,24.9,13,73.5,334.8,4.8,0,0,0,0,0,0,0,0,0,0,0,288.3
Dak Prescott,QB,DAL,,370.3,553.2,4112.5,29.8,11.9,51.3,186.3,2.1,0,0,0,0,0,0,0,0,0,0,0,286.8
Bo Nix,QB,DEN,,363.9,564.5,3877.4,26.5,11.1,82.3,356.2,4,0,0,0,0,0,0,0,0,0,0,0,296.2
Brock Purdy,QB,SF,,351.9,529.6,4180.6,27.1,13.9,65.4,277.3,3.5,0,0,0,0,0,0,0,0,0,0,0,292.5
Matthew Stafford,QB,LAR,,356.1,557.8,4281.7,34.9,9.7,27,39.4,0.6,0,0,0,0,0,0,0,0,0,0,0,293.2
Caleb Williams,QB,CHI,,316.6,528.4,3820.9,25.3,9.9,71.1,381.8,2.3,0,0,0,0,0,0,0,0,0,0,0,281.7
Wan'Dale Robinson,WR,TEN,,0,0,0,0,0,4.1,22.5,0.1,78.8,823.8,1.9,115.7,0,0,0,0,0,0,0,175
Jordan Addison,WR,MIN,,0,0,0,0,0,2,14.4,0.1,60.5,770.3,5.2,99.6,0,0,0,0,0,0,0,170.5
Khalil Shakir,WR,BUF,,0,0,0,0,0,2.3,12.5,0.1,70.1,764.9,3.7,92,0,0,0,0,0,0,0,171.1
Travis Hunter,WR,JAX,,0,0,0,0,0,2,10.8,0.1,41.6,496.6,3.3,68,0,0,0,0,0,0,0,113.1
Jayden Reed,WR,GB,,0,0,0,0,0,9,64.8,0.4,63.3,727.2,4.4,89.1,0,0,0,0,0,0,0,170.2
Xavier Worthy,WR,KC,Q,0,0,0,0,0,12.4,76.2,0.6,55.6,789.2,4.6,92.3,0,0,0,0,0,0,0,173.3
Justin Herbert,QB,LAC,,345.4,527.5,3849.9,25.6,11,78.3,406.5,2.4,0,0,0,0,0,0,0,0,0,0,0,283.6
Patrick Mahomes,QB,KC,Q,358.2,550.6,4000.8,26.4,11.7,53.1,327,3.3,0,0,0,0,0,0,0,0,0,0,0,291.3
Jaylen Warren,RB,PIT,,0,0,0,0,0,180.1,791.4,4.5,46.1,320.2,1.5,56.7,0,0,0,0,0,0,0,191.7
Rico Dowdle,RB,PIT,,0,0,0,0,0,223,975.4,5.5,29.2,210.9,1.1,39.7,0,0,0,0,0,0,0,186.1
Tony Pollard,RB,TEN,,0,0,0,0,0,239.4,1044.2,5.4,29.7,182.6,0.5,38.6,0,0,0,0,0,0,0,185.8
Kenny Gainwell,RB,TB,,0,0,0,0,0,117.8,521.3,4.6,52.1,341.8,2,64,0,0,0,0,0,0,0,177.8
Jonathon Brooks,RB,CAR,,0,0,0,0,0,192.9,809.6,4.3,32.7,246.6,1.2,41.8,0,0,0,0,0,0,0,170.8
Chuba Hubbard,RB,CAR,Q,0,0,0,0,0,176.5,708.7,3.8,41.3,300.1,1.4,52.3,0,0,0,0,0,0,0,172.9
Tucker Kraft,TE,GB,Q,0,0,0,0,0,2.2,8.4,0.1,71.4,818.4,4.4,99.6,0,0,0,0,0,0,0,180.7
George Kittle,TE,SF,O,0,0,0,0,0,0,0,0,69.8,760.2,5.2,88.5,0,0,0,0,0,0,0,176.8
Dallas Goedert,TE,PHI,,0,0,0,0,0,0,0,0,70.6,725.7,5.7,93.4,0,0,0,0,0,0,0,177.1
Travis Kelce,TE,KC,,0,0,0,0,0,0,0,0,73.8,771.2,4.5,103.2,0,0,0,0,0,0,0,177.5
J.K. Dobbins,RB,DEN,,0,0,0,0,0,204.8,958.4,6.6,21.4,132.4,0.8,28.2,0,0,0,0,0,0,0,175
Kyle Monangai,RB,CHI,Q,0,0,0,0,0,191.9,824.9,6.5,25.7,215,1.3,36,0,0,0,0,0,0,0,176.2
Jacory Croskey-Merritt,RB,WSH,,0,0,0,0,0,196.3,848,7.4,16,119,0.7,20.6,0,0,0,0,0,0,0,159.5
Rachaad White,RB,WSH,Q,0,0,0,0,0,135,567.9,5.1,40.4,266.8,1.8,46.4,0,0,0,0,0,0,0,164.7
Jake Ferguson,TE,DAL,,0,0,0,0,0,0,0,0,72.8,598,5.8,95.6,0,0,0,0,0,0,0,166.5
Mark Andrews,TE,BAL,,0,0,0,0,0,9.8,34.8,0.7,57.9,617.6,7.1,83.9,0,0,0,0,0,0,0,169.3
T.J. Hockenson,TE,MIN,,0,0,0,0,0,0,0,0,77.7,639.4,2.8,99.6,0,0,0,0,0,0,0,158.2
Quentin Johnston,WR,LAC,Q,0,0,0,0,0,2.1,10.8,0.1,52.8,777.9,5.6,90.2,0,0,0,0,0,0,0,165.4
Josh Downs,WR,IND,,0,0,0,0,0,2.1,10.7,0.1,70.5,696.8,2.7,100,0,0,0,0,0,0,0,157.7
Deebo Samuel Sr.,WR,SF,,0,0,0,0,0,22.1,109.4,1.1,51.5,681.4,4,74.4,0,0,0,0,0,0,0,161
Aaron Jones Sr.,RB,MIN,,0,0,0,0,0,149.8,652.3,3.2,47,344.2,2.1,60.8,0,0,0,0,0,0,0,177
Isaiah Likely,TE,NYG,,0,0,0,0,0,0,0,0,63.3,683.7,4.1,86.1,0,0,0,0,0,0,0,155.7
Dalton Kincaid,TE,BUF,,0,0,0,0,0,0,0,0,59.3,697.4,4.4,81.8,0,0,0,0,0,0,0,155.4
Kenyon Sadiq,TE,NYJ,Q,0,0,0,0,0,0,0,0,63.2,656.8,4.2,84.9,0,0,0,0,0,0,0,154
Hunter Henry,TE,NE,,0,0,0,0,0,0,0,0,55.8,627.7,5.2,77.8,0,0,0,0,0,0,0,149.9
Jordan Mason,RB,MIN,,0,0,0,0,0,194.3,899.1,6.4,13.4,83.4,0.3,16.6,0,0,0,0,0,0,0,150.5
Blake Corum,RB,LAR,,0,0,0,0,0,181.9,837.5,7.3,16.7,117.1,0.6,22.5,0,0,0,0,0,0,0,159.4
RJ Harvey,RB,DEN,,0,0,0,0,0,77.8,315.9,2.9,48.7,366.9,2.6,62.1,0,0,0,0,0,0,0,149.5
Woody Marks,RB,HOU,,0,0,0,0,0,143.1,580.5,3,24.2,200.3,1.3,32.9,0,0,0,0,0,0,0,127.8
Stefon Diggs,WR,WSH,,0,0,0,0,0,0,0,0,71.1,726.4,3.4,92.7,0,0,0,0,0,0,0,164
Makai Lemon,WR,PHI,Q,0,0,0,0,0,0,0,0,52.5,741.4,4.7,83.6,0,0,0,0,0,0,0,154.6
KC Concepcion,WR,CLE,,0,0,0,0,0,6.4,35,0.2,58.1,727.2,3.1,93.1,0,0,0,0,0,0,0,154.2
Chris Godwin Jr.,WR,TB,,0,0,0,0,0,0,0,0,60.4,700.7,4.5,90.7,0,0,0,0,0,0,0,157.4
Romeo Doubs,WR,NE,,0,0,0,0,0,0,0,0,52.6,665.9,5.3,77.8,0,0,0,0,0,0,0,150.2
De'Zhaun Stribling,WR,SF,,0,0,0,0,0,0,0,0,42.7,646.1,3.9,69.1,0,0,0,0,0,0,0,130.3
Tank Dell,WR,HOU,Q,0,0,0,0,0,8.4,44.7,0.2,55.4,688.6,3.9,87.7,0,0,0,0,0,0,0,152.8
Jalen Coker,WR,CAR,,0,0,0,0,0,0,0,0,61.4,689,3,88.8,0,0,0,0,0,0,0,147.2
Rashid Shaheed,WR,SEA,,0,0,0,0,0,13.8,86.7,0.5,42.8,646.5,3.5,70.6,0,0,0,0,0,0,0,144.5
Kyler Murray,QB,MIN,,330.7,490.2,3347.3,19.5,9.9,70.9,443.8,3.1,0,0,0,0,0,0,0,0,0,0,0,250.6
Tyler Shough,QB,NO,,354.9,545.2,3886.1,20.5,11.1,65.7,285.6,4.3,0,0,0,0,0,0,0,0,0,0,0,266
Jared Goff,QB,DET,,371.3,544,4216.1,29,10,27.2,49.5,0.7,0,0,0,0,0,0,0,0,0,0,0,268.5
Daniel Jones,QB,IND,,350.3,529.1,3750.6,19.6,11.2,73,307.2,5.9,0,0,0,0,0,0,0,0,0,0,0,267.2
Zach Charbonnet,RB,SEA,O,0,0,0,0,0,136.6,555.1,6.9,20.3,145,0.4,26.1,0,0,0,0,0,0,0,134
Alvin Kamara,RB,NO,Q,0,0,0,0,0,111.9,451.2,2.1,32.9,221.8,0.9,40.9,0,0,0,0,0,0,0,117.4
Tyjae Spears,RB,TEN,,0,0,0,0,0,105.5,446.7,3,49.5,336.4,1.6,60.6,0,0,0,0,0,0,0,154.5
Chris Rodriguez Jr.,RB,JAX,,0,0,0,0,0,100.5,432.3,3.4,4.1,29.5,0.2,5.7,0,0,0,0,0,0,0,71.4
Brian Robinson Jr.,RB,ATL,,0,0,0,0,0,134.6,560.4,3.7,8.7,59.1,0.3,11,0,0,0,0,0,0,0,94
Tyler Allgeier,RB,ARI,,0,0,0,0,0,97.4,384.6,3.3,18.1,125.8,0.4,22.9,0,0,0,0,0,0,0,91.3
Denzel Boston,WR,CLE,,0,0,0,0,0,0,0,0,54.9,683,3,87.9,0,0,0,0,0,0,0,140.7
Jerry Jeudy,WR,CLE,,0,0,0,0,0,0,0,0,51.4,709.8,2.7,93.1,0,0,0,0,0,0,0,138.4
Jalen McMillan,WR,TB,Q,0,0,0,0,0,4.4,24.6,0.2,47.3,588.6,3.9,74.7,0,0,0,0,0,0,0,132.9
Calvin Ridley,WR,TEN,,0,0,0,0,0,6.1,32.1,0.2,43.3,677.8,3.4,82.7,0,0,0,0,0,0,0,135.4
Caleb Douglas,WR,MIA,,0,0,0,0,0,0,0,0,44.3,589.8,2.2,71.5,0,0,0,0,0,0,0,115.6
Adonai Mitchell,WR,NYJ,,0,0,0,0,0,2.2,11.2,0.1,41.5,617.5,3.6,74.3,0,0,0,0,0,0,0,126.7
Baker Mayfield,QB,TB,,338.5,526.6,3823.3,24.6,11.6,54.1,323.2,1.4,0,0,0,0,0,0,0,0,0,0,0,264.8
Malik Willis,QB,MIA,,322.6,504.8,3560.2,13.2,10.4,105.6,546.3,3.4,0,0,0,0,0,0,0,0,0,0,0,239.1
Jordyn Tyson,WR,NO,D,0,0,0,0,0,0,0,0,35.6,484.2,2.7,57.5,0,0,0,0,0,0,0,99.8
Tre Tucker,WR,LV,,0,0,0,0,0,10.4,57.3,0.3,48.4,658.3,2.5,81.6,0,0,0,0,0,0,0,138
Keaton Mitchell,RB,LAC,,0,0,0,0,0,83.3,392.6,2.4,20,157,0.8,26.5,0,0,0,0,0,0,0,93.9
Isiah Pacheco,RB,DET,Q,0,0,0,0,0,148.5,639.3,4.5,17.2,114.2,0.8,21.5,0,0,0,0,0,0,0,123.5
Jonah Coleman,RB,DEN,,0,0,0,0,0,65.5,272.4,2.1,17.4,126.6,0.8,22.6,0,0,0,0,0,0,0,74.5
Tank Bigsby,RB,PHI,,0,0,0,0,0,83.2,372.8,3.4,3.6,28.7,0.1,4.9,0,0,0,0,0,0,0,64.2
Ray Davis,RB,BUF,,0,0,0,0,0,32.3,137.9,1.1,7.7,60,0.4,10.2,0,0,0,0,0,0,0,38.1
Terrance Ferguson,TE,LAR,,0,0,0,0,0,0,0,0,45.9,580.2,5.4,73.1,0,0,0,0,0,0,0,135.8
Juwan Johnson,TE,NO,,0,0,0,0,0,0,0,0,63.1,644.8,2.8,87.1,0,0,0,0,0,0,0,143.5
Jalen Nailor,WR,LV,,0,0,0,0,0,2.1,11,0.1,44.3,607.4,3,76.2,0,0,0,0,0,0,0,124.2
Keenan Allen,WR,IND,,0,0,0,0,0,0,0,0,55.1,539.5,2.7,78.9,0,0,0,0,0,0,0,124.4
Rashod Bateman,WR,BAL,,0,0,0,0,0,0,0,0,37.7,614.2,4,65.3,0,0,0,0,0,0,0,122.5
Dontayvion Wicks,WR,PHI,,0,0,0,0,0,0,0,0,39.5,517.8,2.9,63.9,0,0,0,0,0,0,0,108.2
Jaylin Noel,WR,HOU,Q,0,0,0,0,0,4.2,22.2,0.1,43.3,493.7,2.7,65.8,0,0,0,0,0,0,0,113.3
Dylan Sampson,RB,CLE,,0,0,0,0,0,54.6,228.4,1.1,29.6,207.2,1.2,36.2,0,0,0,0,0,0,0,86.9
Mike Washington Jr.,RB,LV,,0,0,0,0,0,88,362.2,2.2,8.4,60,0.3,10.9,0,0,0,0,0,0,0,65.2
Tyrone Tracy Jr.,RB,NYG,,0,0,0,0,0,71.2,302.3,1,15.9,116.6,0.5,20.3,0,0,0,0,0,0,0,66.6
Texans D/ST,DST,HOU,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.1
Broncos D/ST,DST,DEN,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.7
Steelers D/ST,DST,PIT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.9
Seahawks D/ST,DST,SEA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.8
Rams D/ST,DST,LAR,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.9
Ravens D/ST,DST,BAL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.6
Eagles D/ST,DST,PHI,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.8
Browns D/ST,DST,CLE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.3
