name,position,team,injury_status,pass_comp,pass_att,pass_yds,pass_td,int,rush_car,rush_yds,rush_td,rec,rec_yds,rec_td,tar,tackles,sacks,forced_fumbles,fum_rec,def_int,int_td,fum_td,espn_fpts
Jahmyr Gibbs,RB,DET,Q,0,0,0,0,0,283.2,1374.1,14.5,67.8,546.9,3.4,86,0,0,0,0,0,0,0,365.5
Bijan Robinson,RB,ATL,,0,0,0,0,0,286.7,1374.1,8.5,75.7,707.1,3.4,98.5,0,0,0,0,0,0,0,353
Puka Nacua,WR,LAR,,0,0,0,0,0,15.9,105.7,1.2,123,1589.9,9.8,174.3,0,0,0,0,0,0,0,356.6
Ja'Marr Chase,WR,CIN,,0,0,0,0,0,4.1,21.1,0.1,119.5,1507.1,10.7,171.6,0,0,0,0,0,0,0,336.4
Jaxon Smith-Njigba,WR,SEA,,0,0,0,0,0,4.6,25.2,0.2,116.7,1569.2,8.5,166.3,0,0,0,0,0,0,0,326.8
Christian McCaffrey,RB,SF,,0,0,0,0,0,274.2,1130.9,9.1,78.8,685.5,4.8,100.1,0,0,0,0,0,0,0,343.5
Jonathan Taylor,RB,IND,,0,0,0,0,0,327.2,1510.3,11.6,51.3,380.5,1.4,62.9,0,0,0,0,0,0,0,317
Amon-Ra St. Brown,WR,DET,,0,0,0,0,0,2.3,13.5,0.1,118.1,1430.4,10.4,166.7,0,0,0,0,0,0,0,324.5
CeeDee Lamb,WR,DAL,,0,0,0,0,0,2.2,12.6,0.1,103.9,1379,8.6,158.3,0,0,0,0,0,0,0,294.3
De'Von Achane,RB,MIA,,0,0,0,0,0,257.7,1304.6,5,64.8,511.8,3,80.5,0,0,0,0,0,0,0,292.8
Justin Jefferson,WR,MIN,,0,0,0,0,0,2,10.6,0.1,110.7,1375.6,7.4,165.9,0,0,0,0,0,0,0,293.7
James Cook III,RB,BUF,,0,0,0,0,0,299.9,1399.6,11,35.9,302.1,1.6,46,0,0,0,0,0,0,0,279.4
Jeremiyah Love,RB,ARI,,0,0,0,0,0,254.8,1129.1,6.7,65.2,488.8,2.2,85.9,0,0,0,0,0,0,0,278.8
Drake London,WR,ATL,,0,0,0,0,0,0,0,0,102,1248.6,7.3,158.8,0,0,0,0,0,0,0,269.6
Ashton Jeanty,RB,LV,,0,0,0,0,0,281.1,1136.5,7.1,64.9,494.6,2,86.7,0,0,0,0,0,0,0,281.5
Rashee Rice,WR,KC,,0,0,0,0,0,8.2,42.6,0.6,96.3,1131.9,9.1,135.9,0,0,0,0,0,0,0,270.2
Trey McBride,TE,ARI,,0,0,0,0,0,0,0,0,107.8,1023.9,5.4,148.9,0,0,0,0,0,0,0,242.1
Omarion Hampton,RB,LAC,,0,0,0,0,0,270.4,1152.6,9.9,55.9,393.5,1.9,69,0,0,0,0,0,0,0,279.4
Saquon Barkley,RB,PHI,,0,0,0,0,0,300.7,1287,8.7,43.1,371.1,2.3,59,0,0,0,0,0,0,0,273.7
Derrick Henry,RB,BAL,,0,0,0,0,0,317,1482.1,13.1,21.4,210.5,1.2,28,0,0,0,0,0,0,0,274.5
Chase Brown,RB,CIN,,0,0,0,0,0,240.3,1046.4,7.4,64.1,434.6,2.8,80.1,0,0,0,0,0,0,0,272.6
Kenneth Walker III,RB,KC,,0,0,0,0,0,276.1,1233.3,9,48.3,375.4,1.7,59.8,0,0,0,0,0,0,0,272.7
Josh Jacobs,RB,GB,,0,0,0,0,0,300.3,1238.8,13,36,280.7,1.6,47.1,0,0,0,0,0,0,0,273.7
Brock Bowers,TE,LV,,0,0,0,0,0,4.2,15.5,0.2,98.4,995.9,6.6,135.4,0,0,0,0,0,0,0,240.2
Nico Collins,WR,HOU,,0,0,0,0,0,2.1,11.8,0.1,86.4,1210.6,6.7,137.1,0,0,0,0,0,0,0,249.1
Garrett Wilson,WR,NYJ,,0,0,0,0,0,2.2,10.8,0.1,100.1,1163.5,5.1,148.7,0,0,0,0,0,0,0,247.9
A.J. Brown,WR,NE,,0,0,0,0,0,0,0,0,86,1215.1,6.9,129.7,0,0,0,0,0,0,0,248.5
Chris Olave,WR,NO,,0,0,0,0,0,0,0,0,90.5,1162.6,6.4,142.3,0,0,0,0,0,0,0,244.9
George Pickens,WR,DAL,,0,0,0,0,0,0,0,0,79.9,1114.2,8.2,124.4,0,0,0,0,0,0,0,239.1
Breece Hall,RB,NYJ,,0,0,0,0,0,265,1163.1,7.6,52.1,435.9,2.7,63.7,0,0,0,0,0,0,0,273.1
Javonte Williams,RB,DAL,,0,0,0,0,0,287.5,1256.3,11.1,37.1,218.4,1.5,50.9,0,0,0,0,0,0,0,258.7
Malik Nabers,WR,NYG,Q,0,0,0,0,0,4.2,21.6,0.1,81.4,1068.5,6.9,128.6,0,0,0,0,0,0,0,231.8
Tetairoa McMillan,WR,CAR,,0,0,0,0,0,0,0,0,83.4,1200.3,6.3,141,0,0,0,0,0,0,0,240.3
Zay Flowers,WR,BAL,,0,0,0,0,0,9.8,57.3,0.4,81.8,1172.8,5.5,116.6,0,0,0,0,0,0,0,239.1
DeVonta Smith,WR,PHI,,0,0,0,0,0,0,0,0,90.4,1129.4,6,127.8,0,0,0,0,0,0,0,238.8
Josh Allen,QB,BUF,,340.1,508.9,3945,26.2,11.6,116.4,579.5,12.4,0,0,0,0,0,0,0,0,0,0,0,369.2
Kyren Williams,RB,LAR,,0,0,0,0,0,236.5,1071.3,10.2,33.4,223.8,1.6,45,0,0,0,0,0,0,0,232.2
Travis Etienne Jr.,RB,NO,,0,0,0,0,0,257.9,1120,6.1,44.6,376.5,2.1,60.2,0,0,0,0,0,0,0,242.1
Cam Skattebo,RB,NYG,,0,0,0,0,0,249.3,1047,7.3,49.3,365,1.6,60.8,0,0,0,0,0,0,0,242.4
Quinshon Judkins,RB,CLE,,0,0,0,0,0,316.3,1240.4,7.2,31.8,220.8,0.7,41.4,0,0,0,0,0,0,0,225.3
Bucky Irving,RB,TB,,0,0,0,0,0,244.5,993.6,5.3,36.8,294.5,1.7,45.3,0,0,0,0,0,0,0,207.6
Emeka Egbuka,WR,TB,,0,0,0,0,0,2.2,11.9,0.1,69.7,1128.3,7.5,128,0,0,0,0,0,0,0,229.4
Davante Adams,WR,LAR,,0,0,0,0,0,0,0,0,67.6,1016.2,10.6,123.7,0,0,0,0,0,0,0,232.6
Ladd McConkey,WR,LAC,,0,0,0,0,0,0,0,0,79.6,1034,6.3,122.1,0,0,0,0,0,0,0,220.2
Terry McLaurin,WR,WSH,,0,0,0,0,0,0,0,0,80.2,1036.4,5.7,118.7,0,0,0,0,0,0,0,217.6
Tee Higgins,WR,CIN,,0,0,0,0,0,0,0,0,73.1,955.3,8.3,114.4,0,0,0,0,0,0,0,218.5
Jaylen Waddle,WR,DEN,,0,0,0,0,0,2,12.1,0.1,76.7,991.2,6,118.6,0,0,0,0,0,0,0,212.9
Jameson Williams,WR,DET,,0,0,0,0,0,7,45.1,0.6,64.2,1029,5.7,102.2,0,0,0,0,0,0,0,208.8
Colston Loveland,TE,CHI,,0,0,0,0,0,0,0,0,80.2,897.9,6,118.2,0,0,0,0,0,0,0,206.1
Tyler Warren,TE,IND,,0,0,0,0,0,6.3,14.5,0.4,86,871.8,5.3,115.3,0,0,0,0,0,0,0,208.5
Carnell Tate,WR,TEN,,0,0,0,0,0,0,0,0,77.9,1068.2,4.6,126.9,0,0,0,0,0,0,0,211.2
Rome Odunze,WR,CHI,,0,0,0,0,0,0,0,0,59.3,1029.4,8.4,118.2,0,0,0,0,0,0,0,212.8
Luther Burden III,WR,CHI,,0,0,0,0,0,9.1,49.6,0.4,75.1,937.6,5.1,113.1,0,0,0,0,0,0,0,206
DJ Moore,WR,BUF,,0,0,0,0,0,6.9,35.9,0.4,67.2,945.8,7,107.4,0,0,0,0,0,0,0,209.8
Jayden Daniels,QB,WSH,,347.4,520.3,3854.1,22.4,9.9,131,669.8,5.1,0,0,0,0,0,0,0,0,0,0,0,318.5
Lamar Jackson,QB,BAL,,302.8,466.9,3886,26,9.7,122.2,670.8,3.7,0,0,0,0,0,0,0,0,0,0,0,322.5
Drake Maye,QB,NE,,354.9,519.7,4094.2,26.9,11.2,101,531.6,4,0,0,0,0,0,0,0,0,0,0,0,319
Jalen Hurts,QB,PHI,,327.6,499,3780.7,23.6,9.2,106.3,438.2,9.2,0,0,0,0,0,0,0,0,0,0,0,320.8
TreVeyon Henderson,RB,NE,,0,0,0,0,0,194.3,853.8,6.8,43.1,299.6,1.6,51.9,0,0,0,0,0,0,0,208.2
Bhayshul Tuten,RB,JAX,,0,0,0,0,0,237,991.5,6.7,33.7,249.9,1.4,45.4,0,0,0,0,0,0,0,204.8
D'Andre Swift,RB,CHI,,0,0,0,0,0,219.4,995.4,8.2,30.4,269.5,1.1,41.1,0,0,0,0,0,0,0,211.9
David Montgomery,RB,HOU,,0,0,0,0,0,214.4,929.9,7,31.5,230.7,0.6,38.4,0,0,0,0,0,0,0,192.2
Jadarian Price,RB,SEA,,0,0,0,0,0,222.6,922.5,7.9,27.1,212.4,1.3,35.3,0,0,0,0,0,0,0,194.1
Tony Pollard,RB,TEN,,0,0,0,0,0,247.3,1076,5.6,29.7,180.9,0.5,38.6,0,0,0,0,0,0,0,189.6
Courtland Sutton,WR,DEN,,0,0,0,0,0,0,0,0,69.3,892.7,7.6,118.6,0,0,0,0,0,0,0,204
Michael Pittman Jr.,WR,PIT,,0,0,0,0,0,0,0,0,88.4,860.1,3.9,130.4,0,0,0,0,0,0,0,196.7
Alec Pierce,WR,IND,O,0,0,0,0,0,0,0,0,67.5,1026.2,5.6,115.3,0,0,0,0,0,0,0,203.4
Marvin Harrison Jr.,WR,ARI,,0,0,0,0,0,0,0,0,68.8,954.6,5.1,126,0,0,0,0,0,0,0,194
DK Metcalf,WR,PIT,,0,0,0,0,0,0,0,0,64.7,941.4,6.2,113.4,0,0,0,0,0,0,0,195.2
Jordyn Tyson,WR,NO,,0,0,0,0,0,0,0,0,67.5,917.6,5,109.5,0,0,0,0,0,0,0,188.5
Kyle Pitts Sr.,TE,ATL,,0,0,0,0,0,0,0,0,80.4,856.9,3.2,115,0,0,0,0,0,0,0,185
Harold Fannin Jr.,TE,CLE,,0,0,0,0,0,8.5,21.1,0.3,83,817.3,3.2,119,0,0,0,0,0,0,0,187.2
Sam LaPorta,TE,DET,,0,0,0,0,0,0,0,0,78.3,788.1,5.4,102.2,0,0,0,0,0,0,0,188.8
Joe Burrow,QB,CIN,,385.3,569.2,4122.4,33,10.9,51.8,189.2,2.1,0,0,0,0,0,0,0,0,0,0,0,304.4
